osmid,amenity,access,fee,parking,capacity,zone_name,zone_type,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,connector_CHADEMO,connector_J1772,connector_J1772COMBO,connector_TESLA,cs_total,chargers_in_radius,distance_to_nearest_charger,geometry,zip,traffic,Population,Median Income,zoning_score,percentile_distance_to_nearest_charger,percentile_chargers_in_radius,percentile_cs_total,percentile_traffic,percentile_Population,percentile_Median Income,distance_score,radius_score,cs_total_score,traffic_score,population_score,income_score,demand_score
290588762,parking,yes,no,surface,,OP-1-1,Other,2.0,0.0,1.0,True,True,True,False,3.0,0,895.3274047112852,POINT (-117.1973067 32.8327337),92117,0,6526.0,43642.0,0.04000000000000001,0.6525679758308157,0.3685800604229607,0.6253776435045317,0.20090634441087613,0.7673716012084593,0.5105740181268882,0.32628398791540786,-0.1105740181268882,-0.12507552870090635,0.020090634441087614,0.15347432024169186,0.05105740181268882,0.7167243871178861
596737572,parking,yes,yes,multi-storey,,CCPD-BP,Commercial,0.0,0.0,8.0,False,True,False,False,8.0,3,155.7806515576588,POINT (-117.155018 32.709912),92101,0,7702.0,30231.0,0.1,0.1933534743202417,0.9425981873111783,0.7522658610271903,0.20090634441087613,0.9018126888217523,0.1163141993957704,0.09667673716012085,-0.2827794561933535,-0.15045317220543808,0.020090634441087614,0.18036253776435046,0.01163141993957704,0.37397398489269457
9559505830,parking,yes,yes,street_side,11,CCPD-PC,Commercial,0.0,0.0,7.0,False,True,False,True,7.0,3,134.47006524040552,POINT (-117.164312 32.713623),92101,1723,5847.0,32295.0,0.1,0.14501510574018128,0.9425981873111783,0.7356495468277946,0.4259818731117825,0.6586102719033232,0.18429003021148035,0.07250755287009064,-0.2827794561933535,-0.14712990936555892,0.04259818731117825,0.13172205438066464,0.018429003021148038,0.3377055438902675
10016876666,parking,yes,no,surface,,UNZONED,Other,0.0,0.0,0.0,False,False,False,False,0.0,1,143.54326733295474,POINT (-117.1474279 32.7369079),92101,0,4587.0,54497.0,0.04000000000000001,0.16314199395770393,0.8066465256797583,0.2824773413897281,0.20090634441087613,0.4637462235649547,0.7416918429003021,0.08157099697885196,-0.24199395770392745,-0.05649546827794562,0.020090634441087614,0.09274924471299095,0.07416918429003021,0.40517029805568444
10016882273,parking,yes,,surface,6,CN-1-5,Commercial,4.0,0.0,0.0,False,False,True,False,4.0,0,212.02260540930672,POINT (-117.1246158 32.748127),92104,20525,4824.0,39196.0,0.1,0.2719033232628399,0.3685800604229607,0.6570996978851964,0.8731117824773413,0.5015105740181269,0.32628398791540786,0.13595166163141995,-0.1105740181268882,-0.1314199395770393,0.08731117824773414,0.10030211480362539,0.03262839879154079,0.5894030705462082
25195323,parking,yes,yes,surface,,OP-1-1,Other,0.0,0.0,14.0,False,True,False,False,14.0,0,1374.6289809757563,"POLYGON ((-117.2529638 32.9206652, -117.2529507 32.9205348, -117.252917 32.9204717, -117.2526802 32.9202969, -117.2525939 32.9202687, -117.2525364 32.9203985, -117.2525301 32.9205901, -117.2525968 32.920737, -117.2526469 32.9207997, -117.2527592 32.9208792, -117.2528444 32.9207397, -117.2529638 32.9206652))",92121,0,3528.0,71630.0,0.04000000000000001,0.7764350453172205,0.3685800604229607,0.8021148036253777,0.20090634441087613,0.20694864048338368,0.9259818731117825,0.38821752265861026,-0.1105740181268882,-0.16042296072507556,0.020090634441087614,0.04138972809667674,0.09259818731117825,0.6770472580513212
25195338,parking,yes,yes,surface,,OP-1-1,Other,0.0,0.0,19.0,False,True,False,False,19.0,0,1370.4525225285147,"POLYGON ((-117.2530276 32.9201309, -117.2529085 32.9200454, -117.2528398 32.9200631, -117.2525472 32.9198229, -117.2523579 32.9196675, -117.2525296 32.9195451, -117.2529176 32.9198708, -117.2531151 32.9200617, -117.2530276 32.9201309))",92121,0,3528.0,71630.0,0.04000000000000001,0.7734138972809668,0.3685800604229607,0.8353474320241692,0.20090634441087613,0.20694864048338368,0.9259818731117825,0.3867069486404834,-0.1105740181268882,-0.16706948640483385,0.020090634441087614,0.04138972809667674,0.09259818731117825,0.6696844918327834
25656758,parking,yes,no,surface,,AR-1-1,Agricultural,16.0,0.0,10.0,False,True,False,True,26.0,0,1709.7199939906036,"POLYGON ((-117.1253982 32.9902944, -117.1255212 32.9901944, -117.1256235 32.9901058, -117.1255735 32.9900721, -117.1255493 32.9899837, -117.1254719 32.9899086, -117.1252696 32.9900904, -117.1253982 32.9902944))",92127,0,4936.0,57798.0,0.0,0.8368580060422961,0.3685800604229607,0.8836858006042296,0.20090634441087613,0.5181268882175226,0.8353474320241692,0.41842900302114805,-0.1105740181268882,-0.17673716012084595,0.020090634441087614,0.10362537764350453,0.08353474320241693,0.7014807340950615
25841656,parking,yes,no,surface,,UNZONED,Other,0.0,0.0,0.0,False,False,False,False,0.0,0,638.6989856346647,"POLYGON ((-117.1513265 32.7268818, -117.1519359 32.7266724, -117.1521075 32.7265208, -117.1521834 32.7262649, -117.152202 32.7259287, -117.1522878 32.7257482, -117.152468 32.7255821, -117.1524425 32.7254676, -117.1524165 32.725351, -117.1511891 32.7257409, -117.1513351 32.7260442, -117.1513265 32.7268818))",92101,6430,4587.0,54497.0,0.04000000000000001,0.5468277945619335,0.3685800604229607,0.2824773413897281,0.6419939577039275,0.4637462235649547,0.7416918429003021,0.27341389728096677,-0.1105740181268882,-0.05649546827794562,0.06419939577039276,0.09274924471299095,0.07416918429003021,0.7367674729350169
25841666,parking,yes,no,surface,,UNZONED,Other,0.0,0.0,3.0,False,True,False,False,3.0,0,230.88715253598392,"POLYGON ((-117.1469323 32.7328952, -117.1469269 32.7324643, -117.1469201 32.7320094, -117.1467358 32.7320135, -117.1467072 32.7320203, -117.1466782 32.7320271, -117.1466486 32.7320434, -117.1466178 32.7320643, -117.1466037 32.7320795, -117.1465917 32.7320993, -117.1465809 32.7321365, -117.1465769 32.7321755, -117.1465259 32.7321755, -117.1465301 32.7323809, -117.1465356 32.7326448, -117.1465393 32.7328264, -117.1465923 32.7328265, -117.146595 32.7328479, -117.1466071 32.7328739, -117.1466286 32.7328897, -117.1466573 32.7328929, -117.1466681 32.7328941, -117.1467145 32.7328958, -117.1467311 32.7328964, -117.1468377 32.7329003, -117.1469323 32.7328952))",92101,18705,4587.0,54497.0,0.04000000000000001,0.2930513595166163,0.3685800604229607,0.6253776435045317,0.851963746223565,0.4637462235649547,0.7416918429003021,0.14652567975830816,-0.1105740181268882,-0.12507552870090635,0.0851963746223565,0.09274924471299095,0.07416918429003021,0.579286084371847
